id,nombre
1,algebra lineal 
2,analisis senales y sistemas 
3,analisis senanes y sistemas 
4,analisis redes electricas 
5,antenas 
6,calculo varias variables 
7,calculo variable 
8,circuitos alta frecuencia 
9,comunicaciones satelitales 
10,comunicaciones inalambricas 
11,comunicacion y lenguaje 
12,desarrollo trabajo titulacion 
13,diseno redes conmutadas 
14,dispositos electronicos 
15,ecuaciones diferenciales 
16,electricidad y magnetismo 
17,emprendimiento e innovacion 
18,estadistica 
19,fibras opticas telecomunicaciones 
20,fisica 
21,fundamentos sistemas digitales 
22,fundamentos programacion 
23,fundamentos telecomunicaciones 
24,fundamentos ti 
25,gestion proyectos telecomunicaciones 
26,introduccion a investigacion cientifica 
27,marco regulatorio telecomunicaciones 
28,matematicas discretas 
29,microcontroladores 
30,programacion orientada a objetos 
31,procesos estocasticos 
32,propagacion 
33,realidad socioeconomica cultural y ecologica ecuador 
34,redes computadoras 
35,redes inalambricas sensores 
36,redes nueva generacion 
37,redes transporte 
38,redio definido software 
39,seminario titulacion 
40,sistemas comunicaciones 
41,sistemas digitales 
42,sistemas operatos 
43,sistemas telecomunicaciones 
44,telecomunicaciones sociedad 
45,telefonia digital 
46,television digital 
47,teoria eletromagnetica 
